participant_number,map,rotation,vision,haptic,average_dist_to_nearest_obstacle,time_through_maze,path_length,average_velocity,area_between_lead_and_robot,condition
4,10,90,0,0,0.756661572438937,20.53,14.4836770805157,0.860382251634695,2.64688803517768,4
4,10,270,1,1,0.885115935296075,16.43,15.6547372358296,1.10454096627623,3.26008719683048,3
4,11,0,0,0,0.75508221610761,50.39,26.2500042695206,0.522409210475531,1.80425131805109,4
4,11,90,1,0,0.894556420467526,20.4,14.1405668122956,1.12677282447074,2.54623806700163,2
4,11,90,1,1,0.770185289520757,23.77,14.6743165821583,1.02136820101015,6.01710667207594,3
5,3,90,0,1,0.796644031512582,43.45,14.8340632985482,0.688224647225016,6.58185149598881,2
5,3,90,0,0,0.832304593029307,49.22,14.1919121046784,0.570333684831612,0.570472256707859,4
5,3,270,1,0,0.899764325285087,31.61,14.1347960585607,0.879651164645299,1.64720176897396,1
5,3,270,1,1,0.846149336682349,34.57,15.5520095625226,0.826260569366797,3.82709272731965,3
5,5,0,0,0,0.830483081155601,33.32,16.2657707144605,0.627049787227833,0.271351293307814,4
5,5,90,0,1,0.786550535135427,35.99,14.9338349802391,0.544787809873331,5.48738113697646,2
5,5,90,1,1,0.809635621252201,22.45,15.4966322633588,0.851311634718266,2.63406167043875,3
5,5,180,1,0,0.907000016396303,22.96,14.9301931075691,0.835281507552953,0.964077670237587,1
5,6,0,1,1,0.947094945457018,22.28,15.3006645595114,0.893159090104376,1.02531175333942,3
5,6,90,1,0,0.92287021539148,20.55,14.1361996075743,0.941317701400605,0.933502064319962,1
5,6,180,0,1,0.497893331789085,34.56,31.165703980805,0.395519412272169,21.0099181719429,2
5,6,270,0,0,0.805220870627273,25.33,14.4145687108045,0.763433814922036,0.803100670582749,4
5,7,0,1,0,0.830384621187116,23.05,14.2589978584356,0.777182587135223,1.07258084596931,1
5,7,180,0,0,0.832007957380072,28.79,14.4810946429294,0.660438565679859,0.773927263558002,4
5,7,270,0,1,0.70870085946356,33.18,25.2028708394856,0.559784849993498,6.39795161765183,2
5,7,270,1,1,0.83936567557317,20.72,14.1301141532102,0.837476974640896,1.72994274101936,3
5,8,0,1,1,0.871382731905447,28.38,14.6111291740843,0.677264783694577,1.54188602031237,3
5,8,0,0,0,0.904698330246419,36.65,14.846904071594,0.529956500530133,0.367253632395782,4
5,8,180,1,0,0.922456822256547,21.88,14.8819409852223,0.82539087635553,1.57945344259898,1
5,9,0,1,0,0.880254529184067,26.59,14.830517075524,0.710798142508047,0.913698029240423,1
5,9,0,0,1,0.752851585671595,35.56,15.3953370043707,0.543037190340016,4.23649683551,2
5,9,180,0,0,0.761908408633462,34.92,15.0755937296801,0.543679579126236,1.18511626639991,4
5,9,270,1,1,0.872747423741059,20.52,14.2920690944006,0.877553990941981,1.84695605626294,3
5,10,0,1,0,0.878661264820859,20.72,13.9531476182532,0.870217173844124,1.3529920982725,1
5,10,90,0,0,0.805702692813876,47.21,15.7002988125569,0.586944963633762,1.06517738761165,4
5,10,270,1,1,0.878261864608404,22.65,14.5257287091393,0.78811779422853,1.49812872269425,3
5,11,0,0,1,0.680286929148678,40.05,23.6438317782525,0.63477998363673,11.592501296298,2
5,11,90,1,1,0.836521903013857,27.31,14.31162262409,0.845199055261895,2.74535883078848,3
5,11,180,0,0,0.844413121646123,39.5,24.4790590568503,0.661329188511665,0.611489497699285,4
5,11,270,1,0,0.902380861914269,26.13,14.8127830774615,0.908447281351323,1.78732234443848,1
6,3,90,1,1,0.831745798053995,29.49,14.8183875957817,0.980042293473964,6.77460693792814,1
6,3,180,1,0,0.840552868772268,23.5,28.6103978428768,1.18973535455187,3.6797506937641,4
6,3,270,0,0,0.775940642601233,29.01,14.7756790247347,1.05386604401671,2.66159179318219,3
6,5,0,0,1,0.799386963784823,32.89,15.7957876353503,0.639357294295902,5.73518636175417,2
6,5,90,0,0,0.792386132152848,22.64,14.7459432141387,0.916944288410608,1.20198778606483,3
6,5,180,1,0,0.845493693319234,16.02,15.0337492251944,1.19845303538722,2.14085298047873,4
6,5,270,1,1,0.712041237872863,22.2,16.639927214478,0.921378589908725,9.56120315415654,1
6,6,180,1,0,0.885939808566544,17.38,16.5481955987275,1.16927626504137,2.19795843774232,4
6,6,270,1,1,0.735297703586691,24.76,16.5127321256534,0.796537729338142,6.30684735694439,1
6,6,270,0,0,0.853634720811437,17.43,15.3574623468178,1.14034085209017,1.6277383797358,3
6,7,0,1,1,0.796794389081046,19.43,16.7135334740052,0.951226575163021,4.9591121003334,1
6,7,0,0,1,0.735856703006387,28.99,17.1933675169412,0.709605332836061,7.40989721304034,2
6,7,90,0,0,0.760748658132613,28.21,14.799066829498,0.701700124599639,2.64134239401987,3
6,7,90,1,0,0.885527488601297,16.12,14.2088900736388,1.13004792950937,2.242193214283,4
6,8,90,0,0,0.768808692215409,26.26,14.8436193505404,0.808962461475322,1.98708606443634,3
6,8,270,1,0,0.843314637052994,16.01,14.3467063186448,1.11805596276325,2.79625994853657,4
6,9,0,0,0,0.769051024079539,22.19,16.9837352844321,0.871765494187489,1.71496898447683,3
6,9,90,1,0,0.835364702016802,15.44,15.2693861349282,1.1562473420427,3.29117851809597,4
6,9,270,1,1,0.905867106463077,32.61,14.6965672577143,0.567923047574531,1.13672988330678,1
6,10,0,1,1,0.81196576789362,20.67,16.3183078530316,0.928234685300261,5.8672110239537,1
6,10,180,0,0,0.784942685315965,18.08,16.7513351758457,1.06190733447214,2.50967016569672,3
6,10,270,1,0,0.785498480564929,18.14,14.6958386784527,1.00702788685378,3.35649164033184,4
6,11,0,1,0,0.815777856575081,19.13,24.8985588511488,1.27841690486879,3.46586034640861,4
6,11,90,0,0,0.767736396585194,29.98,15.3119594381374,0.862381217829423,2.75961423075409,3
6,11,180,0,1,0.682168274634708,48.45,25.4598920417476,0.537978482357311,13.2013789438986,2
6,11,270,1,1,0.6431868671425,30.6,21.5076883392795,0.85868466639816,11.7836586963789,1
7,3,0,1,0,0.864171712404801,35.32,28.98520007984,0.792428976705775,1.13301132423922,4
7,3,90,0,0,0.83069486302656,50.44,15.494716090668,0.581256461624709,1.02603761714981,3
7,3,180,0,1,0.737936371578875,65.76,36.9150408335586,0.521121581197126,7.54379653093869,1
7,3,180,1,1,0.887818727076711,37.7,29.7207175733805,0.779732134937406,2.01528089412831,2
7,5,0,1,0,0.91586230528603,22.53,14.1624941133798,0.829686736241967,0.540239975356644,4
7,5,90,0,1,0.750465574576012,29.18,14.5676610129013,0.662355323160214,5.75930999014673,1
7,5,180,0,0,0.818334458085003,22.42,14.2619732202205,0.868193516051376,0.222388766125937,3
7,5,270,1,1,0.947625963194915,28.08,15.3349424508869,0.699550470558575,0.774885871306159,2
7,6,0,0,1,0.761474367694563,35.98,16.0788383958568,0.561113282189329,6.66723973292114,1
7,6,0,1,1,0.77555692034368,29.87,15.4231089231343,0.628843668198582,2.08565784929189,2
7,6,0,0,0,0.884353033425459,31.95,14.8078500975541,0.611029189305663,0.23182239169269,3
7,6,270,1,0,0.909276688460948,21.67,14.1287878294051,0.871574005953429,0.868078279387342,4
7,7,0,1,1,0.895546688806301,30.85,16.319912805401,0.614354737575631,1.29753575612404,2
7,7,180,0,0,0.830451410837266,27.32,14.7875279615004,0.722044029703998,1.16339866258736,3
7,7,270,0,1,0.815197208018711,33.74,14.5796587128447,0.55993100072216,2.89492810049321,1
7,7,270,1,0,0.894888993420977,21.8,14.1425446681557,0.836408910026113,1.30621865632296,4
7,8,0,0,1,0.734047831569982,40.21,15.2633462895664,0.460382990974662,3.99435696223242,1
7,8,0,1,1,0.863627103432304,25.52,15.1967358215187,0.718846056219709,1.55523941526068,2
7,8,180,0,0,0.814738853555948,32.96,14.7218790757233,0.579347221332987,0.558058716922907,3
7,8,270,1,0,0.926439872074735,27.01,14.1689175755698,0.66313471524993,1.007679468631,4
7,9,0,0,0,0.882632748331633,33.91,16.5390463445757,0.604373475287329,0.50122842290476,3
7,9,90,0,1,0.743832817595101,36.21,16.4441028878132,0.532218078696329,5.17266031072926,1
7,9,90,1,1,0.879866175399353,26.78,14.6888782327206,0.716156024848233,1.09311144852196,2
7,9,90,1,0,0.892125093199027,21.41,14.2041960688166,0.844558573752891,1.64911512368442,4
7,10,0,1,0,0.846271751291907,28.36,13.7531488001277,0.618777496844485,0.721769949751245,4
7,10,90,0,1,0.735181822047091,34.9,15.3728411208345,0.550556508664798,6.31341022288981,1
7,10,90,0,0,0.853425552519747,31.1,14.3325878429255,0.640126562182351,0.696347805389247,3
7,10,270,1,1,0.918420791243457,25.55,15.2796379875495,0.723473902306621,1.61532013592627,2
7,11,180,1,1,0.881292130932107,28.76,22.606186049975,0.807797203067217,1.67726545688372,2
7,11,180,0,0,0.81487420541264,54.01,29.3066235734481,0.532772461565129,1.18010331236147,3
7,11,270,0,1,0.778118876771144,52.5,16.0927282952577,0.506435277549149,3.77201702248582,1
7,11,270,1,0,0.903964364613595,25.84,14.1239057737319,0.884997754631923,1.43874721936859,4
8,3,0,1,1,0.766822313248393,42.44,29.8876920717457,0.685646297814745,7.01512583833064,1
8,3,0,0,1,0.739250934960379,55.47,34.2969461655548,0.606079765134963,7.38194734642794,3
8,3,0,1,0,0.832794455046902,34.94,29.2139776743143,0.829705435255848,2.03941369071874,4
8,3,90,0,0,0.854158373079709,44.09,14.3607027185864,0.756664616808864,0.862052095175236,2
8,5,90,1,1,0.791348152492015,22.69,15.1391204389322,0.830410554710293,3.55177558392633,1
8,5,90,0,1,0.651563986284397,35.94,16.3679873874093,0.594313082683372,13.8533945293868,3
8,5,270,0,0,0.814922285553332,25.75,14.2463582839971,0.814118497956676,0.514626493563684,2
8,5,270,1,0,0.827022303742078,20.83,15.431328882835,0.936667838065989,1.03045712655841,4
8,6,0,0,1,0.698883041752586,53.22,22.0639547217937,0.435980039938664,9.34621267850931,3
8,6,90,0,0,0.807080115227371,26.16,14.1218599080109,0.752108870528576,0.498170530307087,2
8,6,180,1,1,0.698811804101967,18.97,16.1664875841447,1.03483172167577,9.17675802852044,1
8,6,270,1,0,0.840703076946401,17.47,14.2184816994028,1.09169780016446,1.27667965959185,4
8,7,90,0,0,0.834422374116076,22.73,14.6441979048579,0.905799155749214,1.81236968209494,2
8,7,90,1,0,0.825221481344866,24.48,14.2029406879157,0.741512711060126,1.0627995043042,4
8,7,180,1,1,0.708996870041926,27.37,18.5097342298995,0.776828626491656,9.64862110182647,1
8,7,270,0,1,0.618218103021397,38.42,15.452433233915,0.655865746800505,13.315209764999,3
8,8,90,0,0,0.787222034889617,36.11,16.1990636881627,0.637506081127615,2.03312591659663,2
8,8,180,1,1,0.721813580410815,20.03,17.5842852077173,1.00047127051152,10.4854273713478,1
8,8,180,0,1,0.626603349361751,35,17.7112115658042,0.570170220546044,11.9200822952441,3
8,8,180,1,0,0.852678291214732,19.59,15.0504464161421,0.966752768645576,1.52291498724609,4
8,9,0,0,1,0.735109635052675,66.15,22.6635086333424,0.431034933062406,6.10704111743631,3
8,9,0,1,0,0.850826121290383,26.65,15.0793364366423,0.716701477685566,1.4248838125478,4
8,9,270,1,1,0.753466499615256,21.91,14.6861901757765,0.89035867809308,6.5771255324475,1
8,9,270,0,0,0.842852702937142,34.66,15.0550740340164,0.728397481552052,1.671560249945,2
8,10,0,0,0,0.834672602455783,32.3,18.8834882827786,0.675306103158869,1.0954004701679,2
8,10,0,0,1,0.735848596159536,45.11,28.6999517950064,0.637357072737064,11.1904871916749,3
8,10,180,1,1,0.871875775477819,17.63,15.9184379546439,1.07767604836565,3.64505552374771,1
8,10,270,1,0,0.890127963945991,18.7,14.3363420687353,0.988109999326311,2.33821457069661,4
8,11,0,0,1,0.689116316113464,64.12,34.5021844938277,0.476692412664203,11.2621009212586,3
8,11,180,1,0,0.815976327897742,28.85,22.8816615359652,0.846409475980025,2.34000410575663,4
8,11,270,1,1,0.808917844685499,33.38,15.5040953491073,0.726526276313266,4.15244245742294,1
8,11,270,0,0,0.819653871349411,35.18,14.784919791219,0.797120107028951,1.21730292963504,2
9,3,90,0,0,0.848088651226595,52.5,15.9215623470052,0.667088370574448,1.29282886157192,1
9,3,180,1,0,0.787185538778934,33.25,27.2746468847579,0.827025465769375,1.76811281609778,4
9,3,270,1,1,0.859280645579451,42.48,14.2662094568523,0.689458091185626,3.33815292407465,2
9,3,270,0,1,0.676839219812206,57.42,16.6692636423343,0.51157342724717,14.8286832492205,3
9,5,0,1,1,0.791447312963183,29.91,13.9302203001227,0.632423547601048,2.23712893732449,2
9,5,90,0,1,0.734323919419266,80.45,20.7013560917313,0.332141088220664,3.63407345106873,3
9,5,180,1,0,0.891108598144559,26.26,14.9072036795687,0.712728850246627,0.661749671426838,4
9,5,270,0,0,0.762389508073872,33.67,14.906474975052,0.755465700725257,1.19609287939766,1
9,6,90,1,1,0.763628487704982,25.61,15.6377277094721,0.792032511128073,3.7145042591894,2
9,6,180,1,0,0.877619622636025,26.92,14.9119675134619,0.712008414133082,0.633453218196303,4
9,6,270,0,0,0.762537503095973,29.04,14.7772730377809,0.696656172817317,1.06835110135023,1
9,6,270,0,1,0.683863858361281,34.65,15.5863734854629,0.548326124757453,8.75140557162844,3
9,7,0,0,0,0.754248591504883,28.62,27.8191017357024,0.944703951926628,4.21119251341135,1
9,7,0,1,1,0.790986871175804,27.89,14.8489086277455,0.661753426330721,2.97616245572898,2
9,7,90,0,1,0.705553301088759,52.36,17.2338450783742,0.394038682828208,9.13968253890942,3
9,7,90,1,0,0.88367691123909,21.29,14.5118863305958,0.867501338991311,1.5645770655926,4
9,8,90,0,1,0.807643881107556,52.73,15.1400807405604,0.37831242685287,3.47429412991327,3
9,8,180,1,1,0.858190121412867,24.46,15.7501570584303,0.758243419574101,2.14601001313019,2
9,8,270,0,0,0.763359241967993,43.8,16.2707563839512,0.768646784170168,1.86831710442719,1
9,8,270,1,0,0.882846247230001,23.3,14.6387462192844,0.910225616674957,1.8112278820912,4
9,9,0,0,1,0.73523643570339,48.18,19.4640214414283,0.472115527415057,5.57505096866277,3
9,9,90,1,0,0.829253297839858,24.95,14.1256737413469,0.729484834468226,0.890871708457154,4
9,9,180,1,1,0.944625294657021,30.52,15.4155559666332,0.614292837145649,0.728338835947238,2
9,9,270,0,0,0.813079661003877,35.89,15.497882573461,0.629456737636903,1.33819917150099,1
9,10,0,0,0,0.76119030428036,14.53,16.2598106756691,1.28458929495398,3.6751984805996,1
9,10,180,1,1,0.816813294021658,23.58,14.791519746861,0.752637669081071,2.64974003870823,2
9,10,180,0,1,0.733971967621045,62.18,18.7795399460323,0.360746072329873,4.09864359359261,3
9,10,270,1,0,0.885142957624136,23.16,14.1220010836469,0.796715469468436,1.28715890016195,4
9,11,0,1,0,0.793463638940814,27.26,21.4688053787681,0.840909821582073,2.08535103008876,4
9,11,90,0,1,0.72043889787998,64.15,16.471615134103,0.391810407598691,6.50286557169142,3
9,11,180,1,1,0.868435557176519,35.63,20.5693383582972,0.629613849911785,1.21669740009428,2
10,3,0,1,0,0.865574197401638,31.3,27.9751987245201,0.901672985347898,1.77358064293488,4
10,3,90,1,1,0.908560405285456,37.25,14.5298337960669,0.76570713873777,1.53005983510875,3
10,3,180,0,1,0.772752639794637,49.77,28.5723297485099,0.575840645849153,8.78810235981448,1
10,3,180,0,0,0.804611145869431,55.27,31.2228172824248,0.545509389487167,0.607622468816956,2
10,5,0,1,0,0.85811053896221,17.44,14.2349213834,1.11676513832445,0.842495423383231,4
10,5,90,0,1,0.733626057916028,37.53,16.9628860653771,0.546838400381352,5.63836797105463,1
10,5,180,1,1,0.910791661950938,26.62,14.783413517418,0.708591930619812,0.699332226010574,3
10,5,270,0,0,0.848756164264697,31.4,14.180054765193,0.653934706361076,0.366894359094366,2
10,6,0,0,1,0.683879908417004,43.7,19.0951253376798,0.502038371950336,5.41786432910289,1
10,6,0,0,0,0.807262300038816,34.78,13.8072701866286,0.549786553931412,0.198047152408932,2
10,6,0,1,1,0.896805056420101,23.95,14.6588129557988,0.802547076611453,1.19467982266031,3
10,6,270,1,0,0.927774364406311,29.44,14.4072397112406,0.656506050913164,0.857778784666253,4
10,7,0,0,0,0.821091146652106,45.1,13.8536635958391,0.411281504354967,0.343244205318713,2
10,7,180,1,1,0.89335775936469,25.89,14.6816477073476,0.694888824729226,1.20948830730104,3
10,7,270,0,1,0.75875815747243,44.05,14.6808071781741,0.439730037149915,4.40776724901217,1
10,7,270,1,0,0.934088425426963,19.94,14.1315152231545,0.90912283937177,1.32010107605384,4
10,8,0,0,1,0.651525228053373,87.74,24.1021797724355,0.250488755516782,6.45022010965331,1
10,8,0,0,0,0.861869525414834,42.34,17.168282678364,0.502942671321644,0.868901048887586,2
10,8,180,1,1,0.840193641972416,27.41,13.9963238493879,0.653890759571135,1.90177616829079,3
10,8,270,1,0,0.914126726623571,18.5,14.1267733057457,0.960926890046754,1.72108630861717,4
10,9,0,1,1,0.842844583175311,21.92,14.1439129987663,0.847583499058458,2.49343733676383,3
10,9,90,0,1,0.781391293813382,42.55,18.3676882664309,0.511378404898883,5.11592267517693,1
10,9,90,0,0,0.823654226526035,58.54,16.0271222447691,0.350697802316299,0.387445850295894,2
10,9,90,1,0,0.863482706030835,21.09,14.2482048927762,0.869344294665244,1.7162787369796,4
10,10,0,1,0,0.872243138375923,18.78,14.898764260841,0.979745961210107,2.76523103002994,4
10,10,90,0,1,0.853952925187819,31.33,14.3426651466534,0.6351406262006,1.70633044859308,1
10,10,90,1,1,0.819739732788231,25.15,14.1368108254847,0.712160633231567,1.96473065421743,3
