"","participant","haptic","visual","condition_nums","average_time_through_maze","average_path_length","average_velocity","average_proximity"
"1","26","0","0","4",57.0128571428571,35.2576732463167,0.882527386602607,0.698922296372884
"2","26","0","1","3",18.23375,20.4045796824754,1.1787043592473,0.900641699679398
"3","26","1","0","2",162.591428571429,40.3357303699684,0.559404512100927,0.570959894926852
"4","26","1","1","1",26.18,20.4369728733566,0.80545982497095,0.81234045158734
"5","28","0","0","4",38.7214285714286,22.2779444895106,0.578115018630054,0.781176774308452
"6","28","0","1","3",28.45125,20.1248930125297,0.713723473576069,0.901973728516894
"7","28","1","0","2",59.97375,20.696818060792,0.379369236838954,0.648792545202373
"8","28","1","1","1",31.96,20.468299832631,0.642848986544403,0.887329128672141
"9","29","0","0","4",53.4257142857143,24.752997879936,0.517923912390014,0.747959321683265
"10","29","0","1","3",26.21375,21.346142932647,0.821422685035698,0.945476219148143
"11","29","1","0","2",127.07875,25.2220792170669,0.245285611684284,0.676338671737253
"12","29","1","1","1",31.03625,20.6759510224863,0.664438177950834,0.919840493880248
"13","30","0","0","4",48.6842857142857,23.3785450548186,0.608348866534702,0.76579818985581
"14","30","0","1","3",23.6825,19.8496404366246,0.848466646672993,0.8636346822245
"15","30","1","0","2",106.066666666667,31.2202877114552,0.378155754402057,0.634960768857744
"16","30","1","1","1",26.75125,19.7898111280295,0.7442520241417,0.810671798064615
"17","31","0","0","4",28.095,23.8455173486737,0.87358335660526,0.811910409917168
"18","31","0","1","3",28.81375,20.8488725260788,0.745438538084043,0.903709426506851
"19","31","1","0","2",80.9725,26.7114182765717,0.423092682980278,0.652508806066918
"20","31","1","1","1",33.23,20.9737441559935,0.683900859213766,0.810739919780996
"21","32","0","0","4",46.8385714285714,24.858430238364,0.537638440079789,0.774442158736179
"22","32","0","1","3",24.01,22.013182738693,0.939235760145439,0.816461851475166
"23","32","1","0","2",237.52,40.3639112798188,0.246487688776766,0.540713905451927
"24","32","1","1","1",42.98,22.7077538721523,0.656106330913917,0.732324716592408
"25","33","0","0","4",82.6025,22.9590403252523,0.298176644519862,0.826750111403235
"26","33","0","1","3",44.79375,20.5087229577882,0.473933990610178,0.840846122270595
"27","33","1","0","2",151.793333333333,26.5541033164239,0.391696461419682,0.667702669040429
"28","33","1","1","1",51.85875,20.7805290648923,0.413258334861018,0.836306106435341
"29","34","0","0","4",40.2025,25.0040084087858,0.647209525969494,0.78281315591016
"30","34","0","1","3",23.575,21.4423521417823,0.939743748112881,0.873286840447985
"31","34","1","0","2",121.22125,24.5391352698734,0.314441847571943,0.606894567413028
"32","34","1","1","1",107.3575,30.6095350713567,0.405994711002446,0.744243728225236
"33","35","0","0","4",32.24,22.3609732623739,0.695017728549886,0.780403732854259
"34","35","0","1","3",24.65875,20.5232644631783,0.844333254732384,0.912304430736978
"35","35","1","0","2",89.32125,23.7150898920908,0.327053457315833,0.662902111477114
"36","35","1","1","1",33.1525,20.7417616361014,0.635517388596919,0.886118866304047
"37","36","0","0","4",92.88,21.1713261460422,0.240966824798307,0.848720952383527
"38","36","0","1","3",20.33875,20.5446414111694,1.02572736364625,0.916413738729889
"39","36","1","0","2",184.0575,29.2490375450737,0.194838044415504,0.731883174686204
"40","36","1","1","1",27.88375,20.8603110835086,0.79544338497906,0.862757231374016
"41","38","0","0","4",54.3285714285714,22.9840182835018,0.433866885530204,0.758429378569773
"42","38","0","1","3",27.405,20.1024726980031,0.762290142604608,0.841425216322041
"43","38","1","0","2",122.605,25.0147494368708,0.410098394784024,0.632430678624315
"44","38","1","1","1",52.43125,21.1960737632451,0.464984346242432,0.788374221018358
"45","39","0","0","4",64.905,30.4792711906335,0.476484703153676,0.815438150910071
"46","39","0","1","3",23.875,21.814160087875,0.920167896521165,0.854809824436342
"47","39","1","0","2",155.0225,31.8741384953122,0.245646222788328,0.654257131241285
"48","39","1","1","1",28.665,20.9799720704511,0.764221311096867,0.846446847115387
"49","40","0","0","4",34.92125,21.745542426393,0.634809473826539,0.793617099810867
"50","40","0","1","3",26.215,20.4471443314784,0.809781326081838,0.889038072392322
"51","40","1","0","2",75.21,22.7062256557892,0.329666659084907,0.67542353956384
"52","40","1","1","1",50.835,22.588801337607,0.451829447957904,0.81349875175505
"53","41","0","0","4",70.0625,25.2445562250206,0.376336235283989,0.754592584052511
"54","41","0","1","3",25.2828571428571,20.5111086399848,0.820500792625733,0.84842527011908
"55","41","1","0","2",155.52375,28.4531666073283,0.23562667660761,0.606348660907128
"56","41","1","1","1",46.4357142857143,21.3411511258596,0.520687110497431,0.756032770264167
"57","42","0","0","4",46.078,22.9003983608941,0.564189810919953,0.732670734552583
"58","42","0","1","3",39.13375,22.6870389989853,0.581830447388562,0.769248136735449
"59","42","1","0","2",387.76,52.4297639386282,0.24018618478354,0.544687355381878
"60","42","1","1","1",58.7714285714286,22.3671076204528,0.433632744981353,0.751728018498585
"61","43","0","0","4",36.1042857142857,21.5081582720349,0.609753444759523,0.717081854605652
"62","43","0","1","3",29.65125,21.1847452518477,0.740694383035754,0.812388671151573
"63","43","1","0","2",321.33,45.8318051883855,0.188008318009964,0.545029847947338
"64","43","1","1","1",52.03,24.4520267219804,0.84832734159855,0.670296165943544
"65","44","0","0","4",41.335,24.3519884572234,0.602535478237728,0.763288508660846
"66","44","0","1","3",20.21875,20.7613051500558,1.04346572379513,0.903161954166839
"67","44","1","0","2",110.607142857143,27.1638097412321,0.429874443583584,0.662969179501283
"68","44","1","1","1",21.36875,20.9399971405782,1.00521896312783,0.836130629848427
"69","46","0","0","4",81.37875,22.2377430838138,0.283042885459654,0.819334107686101
"70","46","0","1","3",27.23,20.1911184054334,0.783304917954558,0.846960387393215
"71","46","1","0","2",137.645,27.8163985125275,0.845957341350787,0.67839044918214
"72","46","1","1","1",42.17375,20.8194121016619,0.553100398227762,0.795123301275332
"73","47","0","0","4",52.5185714285714,26.3990659118296,0.548501111786145,0.708006466136737
"74","47","0","1","3",49.69125,20.7433603448891,0.436404869147913,0.8561949430837
"75","47","1","0","2",235.91,34.6347082086517,0.201410677115871,0.603171402973152
"76","47","1","1","1",47.63625,20.5815545060022,0.442954116113508,0.842793361474077
"77","48","0","0","4",35.6066666666667,24.4030789423981,0.694968918893549,0.789714317205604
"78","48","0","1","3",20.535,19.7315374066702,0.956343498069538,0.848734492913519
"79","48","1","0","2",118.918,23.8741530262534,0.208468497424356,0.757279747998664
"80","48","1","1","1",23.27625,20.3383459460139,0.950804452969341,0.829568238486814
